year_blt,new_units,new_sfla,cumulative_units,cumulative_sfla
1970,10,76148.0,180,7137921.0
1971,2,45738.0,182,7183659.0
1972,18,154832.0,200,7338491.0
1973,34,136616.0,234,7475107.0
1974,23109,450128.0,23343,7925235.0
1975,13,192480.0,23356,8117715.0
1976,17,6898849.0,23373,15016564.0
1977,9,460802.0,23382,15477366.0
1978,20,227750.0,23402,15705116.0
1979,81,2447626.0,23483,18152742.0
1980,61,389820.0,23544,18542562.0
1981,19,329640.0,23563,18872202.0
1982,94,602958.0,23657,19475160.0
1983,11,117274.0,23668,19592434.0
1984,47,115880.0,23715,19708314.0
1985,60,288277.0,23775,19996591.0
1986,9,390891.0,23784,20387482.0
1987,5,655484.0,23789,21042966.0
1988,48,254966.0,23837,21297932.0
1989,15,1018959.0,23852,22316891.0
1990,42,1680635.0,23894,23997526.0
1991,19,369679.0,23913,24367205.0
1992,5,117763.0,23918,24484968.0
1993,20,424846.0,23938,24909814.0
1994,18,2237733.0,23956,27147547.0
1995,49,337822.0,24005,27485369.0
1996,52,229985.0,24057,27715354.0
1997,50,1264787.0,24107,28980141.0
1998,114,591976.0,24221,29572117.0
1999,65,510514.0,24286,30082631.0
2000,58,171985.0,24344,30254616.0
2001,27,371212.0,24371,30625828.0
2002,19,2689486.0,24390,33315314.0
2003,42,88793.0,24432,33404107.0
2004,13,563835.0,24445,33967942.0
2005,32,225216.0,24477,34193158.0
2006,4,95210.0,24481,34288368.0
2007,13,181061.0,24494,34469429.0
2008,34,238078.0,24528,34707507.0
2011,3,523924.0,24531,35231431.0
2013,3,68221.0,24534,35299652.0
2014,14,32895.0,24548,35332547.0
2015,5,124693.0,24553,35457240.0
2016,4,91337.0,24557,35548577.0
2017,18,109342.0,24575,35657919.0
2018,2,80757.0,24577,35738676.0
2019,3,68898.0,24580,35807574.0
2020,5,1190152.0,24585,36997726.0
2022,3,2654379.0,24588,39652105.0
2023,2,230457.0,24590,39882562.0
