year_blt,cumulative_units
0,3
1875,5
1880,8
1881,9
1882,10
1883,11
1884,12
1885,14
1886,16
1890,40
1893,41
1895,42
1896,45
1899,46
1900,72
1901,73
1902,75
1904,77
1905,84
1908,85
1909,86
1910,94
1912,95
1913,96
1915,102
1916,103
1917,106
1918,107
1920,120
1921,121
1922,122
1923,124
1924,125
1925,129
1926,130
1928,131
1930,143
1931,144
1932,149
1933,152
1935,158
1936,161
1938,176
1939,182
1940,195
1941,196
1942,200
1943,201
1944,203
1945,206
1946,210
1947,212
1948,226
1950,245
1951,249
1952,253
1953,259
1954,261
1955,276
1956,291
1957,298
1958,313
1959,323
1960,348
1961,389
1962,436
1963,513
1964,597
1965,811
1966,1043
1967,1170
1968,1380
1969,1614
1970,1921
1971,2360
1972,3870
1973,5163
1974,6049
1975,6324
1976,6628
1977,7171
1978,7774
1979,9186
1980,10522
1981,11528
1982,12257
1983,12997
1984,13656
1985,14311
1986,14570
1987,14712
1988,14808
1989,15068
1990,15366
1991,15676
1992,16012
1993,16483
1994,17372
1995,18256
1996,19252
1997,20249
1998,21474
1999,22892
2000,24122
2001,24637
2002,25064
2003,25422
2004,25792
2005,26307
2006,26701
2007,27296
2008,27656
2009,27742
2010,27858
2011,28100
2012,28246
2013,28489
2014,28878
2015,29169
2016,29445
2017,29957
2018,30504
2019,30997
2020,31321
2021,31661
2022,32007
2023,32564
2024,32750
